ID,Active,Reference,Alias1,Alias2,Alias3,Alias4,Alias5,Alias6,Alias7,Alias8
"2026","Steinernema feltiae",,"Beneficial nematode","<i>Neoaplectana bibionis</i>","<i>Neoaplectana feltiae</i>","<i>Neoaplectana leucaniae</i>","<i>Steinernema bibionis</i>",,,
"2027","Steinernema glaseri",,"Beneficial nematode","White grub parasitic nematode",,,,,,
"2028","Steinernema kraussei",,"Beneficial nematode","Vine weevil nematode",,,,,,
"2029","Steinernema riobrave",,"Beneficial nematode","Steinernema riobravis",,,,,,
"2030","Steinernema scapterisci",,"Beneficial nematode","Mole cricket parasitic nematode",,,,,,
"2031","Streptomyces K61",,"Streptomyces strain K61","Streptomyces griseoviridis K61",,,,,,
"2032","Streptomyces lydicus",,"Streptomyces WYEC 108",,,,,,,
"2033","Talaromyces flavus",,,,,,,,,
"2034","Trichoderma harzianum strain ITEM 908",,,,,,,,,
"2035","Trichoderma harzianum strain T-39",,"<i>Trichoderma lignorum</i>","ABG-8007",,,,,,
"2036","Trichoderma harzianum strain T-22",,"<i>Trichoderma lignorum</i>","1295-22","KRL-AG2","ATCC 20847",,,,
"2037","Trichoderma harzianum strain TH35",,"<i>Trichoderma lignorum</i>",,,,,,,
"2038","Trichoderma harzianum strain TH315",,"<i>Trichoderma lignorum</i>",,,,,,,
"2039","Trichoderma gamsii strain ICC080",,"<i>Trichoderma viride</i>",,,,,,,
"2040","Trichoderma polysporum strain IMI 206039",,,,,,,,,
"2041","Trichoderma asperellum strain ICC012",,"<i>Trichoderma harzianum</i>",,,,,,,
"2042","Trichoderma asperellum strain T11",,"<i>Trichoderma harzianum</i>","<i>Trichoderma viride</i> strain T-25",,,,,,
"2043","Trichoderma asperellum strain T34",,"<i>Trichoderma harzianum</i>",,,,,,,
"2044","Trichoderma atroviride strain IMI 206040",,"<i>Trichoderma harzianum</i>",,,,,,,
"2045","Trichoderma atroviride strain T11",,"<i>Trichoderma harzianum</i>",,,,,,,
"2046","Trichoderma atroviride strain I-1237",,"<i>Trichoderma harzianum</i>",,,,,,,
"2047","Trichoderma atroviride strain TV1",,"<i>Trichoderma harzianum</i>","<i>Trichoderma viride</i> strain TV1",,,,,,
"2048","Trichoderma stromaticum",,"<i>Trichoderma viride</i>","<i>Trichoderma polysporum</i>",,,,,,
"2049","Trichoderma virens strain GL-21",,"<i>Gliocladium virens</i>",,,,,,,
"2050","Vairimorpha necatrix",,,,,,,,,
"2051","Xanthomonas campestris",,"<i>Bacillus campestris</i>","<i>Pseudomonas campestris</i>",,,,,,
"2052","canola oil",,"refined vegetable oil","oilseed rape extract",,,,,,
"2053","dihydroazadirachtin",,"DAZA",,,,,,,
"2054","garlic extract",,,"garlic oils","essential oil of garlic",,,,,
"2056","jojoba oil",,"vegetable oil",,,,,,,
"2057","karanjin",,,,,,,,,
"2058","macleaya extract",,"Pink plume poppy extract","sanguinarine chloride","chelerythrine chloride",,,,,
"2059","maple lactone",,"cyclotene","corylone",,,,,,
"2060","mildiomycin","AR-1F1870","antibiotic B-98891","TF-138",,,,,,
"2061","milsana","BAS 114 UBF","Reysa","<i>Reynoutria sachalinensis</i> extract","KHHUBF",,,,,
"2063","octenol",,"amylvinylcarbinol","vinyl amy carbinol","mushroom alcohol","matsuica alcohol","1-octen-3-ol",,,
"2064","polyoxorim",,"polyoxim D","polyoxim Z","polyoxins",,,,,
"2065","rosemary oil",,"oil of rosemary","plant oil",,,,,,
"2066","strychnine",,"Sanaseed",,,,,,,
"2067","ryanodine",,"ryania extract","bonide ryatox","ryanocide","ryania",,,,
"2068","9,21-didehydroryanodine",,"ryania extract","ryanodol",,,,,,
"2069","Aceria malherbae",,"Bindweed gall mite","<i>Aceria convolvuli</i>",,,,,,
"2070","Agapeta zoegana",,"Knapweed beetle","Sulphur knapweed moth larvae","Yellow-winged knapweed root moth larvae",,,,,
"2071","Agasicles hygrophila",,"Alligatorweed flea beetle",,,,,,,
"2072","Agrilus hyperici",,"St. John's wort beetle","St. John's wort root borer","Klamath weed root borer",,,,,
"2073","Amblyseius barkeri",,"Thrip predator","<i>Amblyseius mackenziei</i>","<i>Neoseiulus barkeri</i>",,,,,
"2074","Amblyseius cucumeris",,"Thrip predatory mite","<i>Neoseiulus cucumeris</i>",,,,,,
"2185","Aprostocetus hagenowii",,"<i>Tetrastichus hagenowii</i>","<i>Tetrastichodes hagenowii</i>","cockroach wasp",,,,,
"2075","Amblyseius degenerans",,"Thrip predatory mite","<i>Iphiseius degenerans</i>",,,,,,
"2076","Amblyseius fallacis",,"Spider mite predator","<i>Neoseiulus fallacis</i>",,,,,,
"2077","Amblyseius montdorensis",,"Thrips predator","<i>Typhlodromus montdorensis</i>",,,,,,
"2078","Amitus spiniferus",,"Woolly aphid predator","Woolly aphid parasitoid",,,,,,
"2079","Anagrus atomus",,"Leafhopper predator","Leafhopper egg parasitoid","Fairyfly",,,,,
"2080","Anagrus epos",,"Grape Leafhopper predator","Grape Leafhopper egg parasitoid","Fairyfly","Blackberry Leafhopper egg parasitoid",,,,
"2081","Anagyrus fusciventris",,"Long-tailed mealybug parasitoid",,,,,,,
"2082","Anagyrus pseudococci",,"Citrus mealybug parasitoid","Vine mealybug parasitoid",,,,,,
"2083","Anaphes flavipes",,"Cereal leaf beetle parasitoid","Cereal leaf beetle fairyfly ",,,,,,
"2084","Anaphes iole",,"Plant bug parasitoid","Lygus bug parasitoid","<i>Anaphes ovijentatus</i>","Fairy fly",,,,
"2085","Anaphes nitens",,"Eucalyptus snout beetle parasitoid","<i>Anaphoidea nitens</i>","<i>Anaphes gonipteri</i>","Fairy fly",,,,
"2086","Anastatus tenuipes",,"Cockroach parasitoid","Cockroach eggcase parasite",,,,,,
"2087","Anthocoris nemoralis",,"Flower bug","Pirate bug","Pear psylla predator",,,,,
"2088","Agrotis segetum granulosis virus",,"AsGV","Turnip moth virus","<i>Agrotis segetum</i> GV","AgseGV",,,,
"2089","aschersonia aleyrodis",,"Red fungus",,,,,,,
"2090","tridec-4-enyl acetate",,"Lycopersilure","<i>Keiferia lycopersicella</i> pheromone","Tomato pinworm pheromone","AI3-34338","Straight Chain Lepidopteran Pheromone","SCLP","Tomato pinworm pheromone",
"2091","(Z)-tetradec-9-enol",,"Beet armyworm sex pheromone","BAW Pheromone",,,,,,
"2092","(Z)-tetradec-7-enal","AI3-35951","Olive moth sex pheromone","<i>Prays oleae</i> sex pheromone","Straight Chain Lepidopteran pheromone",,,,,
"2093","(E,Z)-tetradeca-4,10-dienyl acetate",,"Apple leaf miner sex pheromone","E4Z10-14Ac",,,,,,
"2094","sordidin",,"Banana corm weevil aggregation pheromone",,,,,,,
"2095","rhyncolure",,"American palm weevil aggregation pheromone",,,,,,,
"2096","oryctalure",,"Rhinoceros beetle aggregation pheromone",,,,,,,
"2097","Pseudomonas sp. strain DSMZ 13134",,,,,,,,,
"2098","(Z,Z)-octadeca-3,13-dienyl acetate","BAS 286 I","Apple clearwing moth sex pheromone","Z3Z13-18Ac",,,,,,
"2099","(E,Z)-octadeca-3,13-dienyl acetate",,"Leopard moth sex pheromone","E3Z13-18Ac",,,,,,
"2100","(E,Z)-octadeca-2,13-dienyl acetate",,"Leopard moth sex pheromone","E2Z13-18Ac",,,,,,
"2101","14-methyloctadec-1-ene",,"Peach leaf miner sex pheromone","Apple leaf miner sex pheromone","<i>Lyonetia clerkella</i> sex pheromone",,,,,
"2102","methylcyclohexenone",,"MCH","Beetle repellent","Beetle antiaggregation pheromone",,,,,
"2103","lineatin",,"Ambrosia beetle aggregation pheromone",,,,,,,
"2104","(Z)-icos-13-en-10-one",,"<i>Carposina niponesis</i> sex pheromone","Peach fruit moth sex pheromone","Z7-20-11Kt","Z13-20-10Kt",,,,
"2105","pityolure",,"Pine processionary moth sex pheromone","Y11Z13-16Ac","Z13Y11-16Ac",,,,,
"2106","(Z)-hexadec-11-enyl acetate",,"European corn borer sex pheromone","Corn stem borer sex pheromone","Z11-16Ac","Z11HDA","Straight Chain Lepidopteran Pheromone","SCLP",,
"2107","grandlure","SHA 112401","Boll weevil sex pheromone","grandisol","luretape",,,,,
"2108","frontalin",,"Beetle aggregation pheromone","Douglas fir beetle aggregation pheromone",,,,,,
"2109","camphene",,"Beetle aggregation pheromone","Douglas fir beetle aggregation pheromone",,,,,,
"2110","carene",,"delta-3-carene","3-carene","3-norcarene","S-3-carene",,,,
"2111","4-methylnonan-5-ol",,"Red palm weevil aggregation pheromone","ferrolure+","ferrugineol",,,,,
"2112","4-methylnonan-5-one",,"Red palm weevil aggregation pheromone","ferrolure+","ferruginone",,,,,
"2113","farnesol",,"farnesyl alcohol ","Spider mite alarm pheromone",,,,,,
"2114","nerolidol",,"peruviol","Spider mite alarm pheromone",,,,,,
"2115","chalcogran",,"Bark beetle agggregation pheromone","Six-toothed bark beetle aggregation pheromone",,,,,,
"2116","(E)-dodec-9-enyl acetate",,"European pine shoot moth sex pheromone","Eastern pine shoot borer sex pheromone","Straight Chain Lepidopteran Pheromone","9-dodecenyl acetate","SCLP",,,
"2117","(Z)-dodec-9-enyl acetate","BAS 281 I","Grapeberry moth sex pheromone","Sonolure","Z9-12Ac","Straight Chain Lepidopteran Pheromone","grapemone","SCLP",,
"2118","(Z)-dodec-8-enyl acetate","BAS 284 I","Fruit moth sex pheromone","Z8-12Ac","<i>Grapholitha molesta</i> sex pheromone","Straight Chain Lepidopteran Pheromone (SCLP)","Z8DDA","(Z)-8-dodecen-1-ol acetate","Koa seed worm pheromone","Macademia nut borer pheromone"
"2119","looplure","ENT 33266","Straight Chain Lepidopteran Pheromone","Cabbage looper moth sex pheromone","Tomato looper moth sex pheromone","Z7-12Ac","Cabblemone",,,
"2120","8,10-dodecadienyl acetate",,"Straight Chain Lepidopteran Pheromone","SCLP","Pea moth sex pheromone","Cydia nigricana pheromone",,,,
"2121","(E,Z)-tetradeca-9,12-dienyl acetate",,"Beet armyworm sex pheromone","E9Z12-14Ac",,,,,,
"2122","(Z,Z,E)-7,11,13-hexadecatrienal",,"Citrus leafminer moth pheromone","CLM pheromone","Z7Z11E13-16Ald","Citrus leafminer lepidoptera pheromone ",,,,
"2123","myristyl acetate",,"n-tetradecyl acetate","tetradecyl acetate","AI3-11586",,,,,
"2125","(Z)-6-heneicosen-11-one",,"Douglas fir tussock moth sex pheromone","Straight Chain Lepidopteran Pheromone","SCLP","(Z)-6-heneicosen-11-one","(6Z)-heneicos-6-en-11-one",,,
"2186","Atheta coriaria",,"Rove beetle","<i>Homalota coriaria</i>","<i>Dolotia coriaria</i>",,,,,
"2187","Bangasternus orientalis",,"Yellow star-thistle weevil","Russian knapweed",,,,,,
"2126","(E,E)-tetradeca-9,11-dienyl acetate",,"Apple moth sex pheromone","tetradeca-9,11-dienyl acetate","LBAM sex pheromone",,,,,
"1855","Aphelinus mali",,"Woolly aphid parasitic wasp",,,,,,,
"2127","Aphidius colemani",,"Aphid parasitic wasp","<i>Aphidius platensis</i>","<i>Aphidius transcaspicus</i>",,,,,
"2128","Aphidius ervi",,"Aphid parasitic wasp",,,,,,,
"2129","Aphidius matricariac",,"Aphid parasitic wasp","Aphid parasitoid",,,,,,
"2130","Aphidoletes aphidimyza",,"Aphid predator","Gall midge","Aphid midge","Aphid gall-midge",,,,
"2133","aviglycine",,"AVG","aminoethoxyvinylglycine",,,,,,
"2153","xanthine",,"2,6-dioxopurine","xanthic oxide","Xan","pseudoxanthine","xanthin","isoxanthine",,
"2154","oxypurinol",,"oxoallopurinol","oxipurinol","D-2-methylmalic acid",,,,,
"2165","Aphthona flava",,"amber spurge flea beetle","copper leafy spurge flea beetle",,,,,,
"2188","Bathyplectes curculionis",,"alfalfa weevil parasitoid",,,,,,,
"2189","Bracon hebetor",,"grain moth parasitoid",,,,,,,
"2201","Chrysolina quadrigemina",,"St Johns wort beetle","Klamath weed beetle",,,,,,
"2166","Aphytis holoxanthus",,"red scale parasitoid",,,,,,,
"2167","Aphytis lepidosaphes",,"citrus mussel scale parasitoid","purple scale parasitoid",,,,,,
"2168","Aphytis lignanensis",,"scale parasitoid","armoured scale parasitoid","red scale parasitoid","golden chalcid",,,,
"2169","Aphytis melinus",,"scale parasitoid","armoured scale parasitoid","red scale parasitoid","golden chalcid",,,,
"2170","Apion fuscirostre",,"Scotchbroom seed weevil","<i>Exapion fuscirostre</i>",,,,,,
"2171","Apion ulicis",,"Gorse seed weevil","<i>Exapion ulicis</i>","Furze weevil",,,,,
"2190","Neodiprion sertifer nucleopolyhedrovirus",,"Sawfly virus","NsNPV",,,,,,
"2191","Neodiprion lecontei nucleopolyhedrovirus",,"Sawfly virus","NlNPV",,,,,,
"2192","Pythium oligandrum Strain M1",,,,,,,,,
"2193","Pythium oligandrum Strain DV74",,,,,,,,,
"2194","3-(N-butyl-N-acetyl)-aminopropionic acid, ethyl ester","OMS 3065","Merck 3535 ","BAAPE","EBAAP","ethylbutylacetylaminopropionate",,,,
"2196","Adalia bipunctata",,"Two-spotted ladybird","Ladybug beetle",,,,,,
"2197","Cales noacki",,"Citrus woolly whitefly parasitoid",,,,,,,
"2198","Calosoma sycophanta",,"Gypsy moth predator",,,,,,,
"2199","Cheyletus eruditus",,"Storage mite predator","House dust mite",,,,,,
"2200","Chrysolina hyperici",,"St Johns wort beetle","Klamath weed beetle",,,,,,
"2202","Chrysoperla carnea",,"Pearly green lacewing","Aphid lion","<i>Chrysopa carnea</i>","Green lacewing","Predatory lacewing",,,
"2203","Chrysoperla rufilabris",,"Green lacewing","Aphid lion","<i>Chrysopa burmeister</i>","Southern geen lacewing",,,,
"2204","Coleomegilla maculata",,"Pink spotted lady beetle","Twelve spotted lady beetle","Twelved spotted ladybug","Pink lady beetle","<i>Coleomegilla immaculata</i>",,,
"2205","Comperia merceti",,,,,,,,,
"2206","Cryptolaemus montrouzieri",,"Australian ladybird beetle","Mealybug destoyer","Crypts","Australian ladybug",,,,
"2207","Chilocorus stigma",,"Twiced stabbed lady beetle","<i>Chilocorus orbus</i>",,,,,,
"2208","Chilocorus bipustulatus",,"Heather ladybird","Twice-stabbed lady beetle","Armored scale lady beetle","Pine lady beetle",,,,
"2209","Chilocorus kuwanae",,"Asian lady beetle","Multicoloured Asian lady beetle ","Kuwana's lady beetle",,,,,
"2210","Chilocorus nigritus",,"Armoured scale predator","Malaysian ladybird beetle",,,,,,
"2211","Chilocorus baileyi",,"<i>Chilocorus baileyii</i>","<i>Chilocorus malasiae</i>","Scale predator beetle","Blue Chilocorus","Oriental scale predator",,,
"2212","Chilocorus circumdatus",,"Scale predator beetle","Red Chilocorus",,,,,,
"2219","Cybocephalus nipponicus",,"Scale picnic beetle","Armoured scale predator",,,,,,
"2220","Dacnusa sibirica",,"Leaf miner parasitoid","Leaf miner wasp",,,,,,
"2221","Delphastus catalinae",,"Whitefly ladybeetle","Whitefly predatory beetle",,,,,,
"2222","Delphastus pusillus",,"Whitefly predatory beetle","Black ladybeetle",,,,,,
"2223","Deraeocoris brevis",,"Mirid plant bug",,,,,,,
"2224","Diglyphus isea",,"Eulophid wasp","Leaf miner parasitoid","Warm weather leafminer parasitoid","<i>Diglyphus isaea</i>",,,,
"2227","Dicyphus hesperus",,"Predatory mirid",,,,,,,
"2228","Encarsia formosa",,"Glasshouse whitefly parasitoid","TAB-1 (Tomono)","Whitefly parasitoid",,,,,
"2230","Episyrphus balteatus",,"marmalade hoverfly",,,,,,,
"2231","Eretmocerus eremicus",,"Whitefly parasitoid","<i>Eretmocerus</i> nr <i>californicus</i> Howard",,,,,,
"2232","Eretmocerus mundus",,"Whitefly parasitoid",,,,,,,
"2233","Feltiella acarisuga",,"Red spider mite gall midge predator","<i>Therodiplosis persicae</i> Kieffer",,,,,,
"2234","Franklinothrips orizabensis",,"Avocado thrip predator","Scirothrips predator",,,,,,
"2235","Galendromus annectens",,"Persea mite predator","<i>Typhlodromus annectens</i>",,,,,,
"2236","Galendromus helveolus",,"<i>Typhlodromus helveolus</i>",,,,,,,
"2237","Galendromus occidentalis",,"Mite predator","<i>Typhlodromus occidentalis</i>","<i>Metaseulus occidentalis</i>",,,,,
"2238","Geocoris punctipes",,"Big-eyed bug",,,,,,,
"2239","Glyptapanteles liparidis",,,,,,,,,
"2240","Franklinothrips vespiformis",,,,,,,,,
"2241","Franklinothrips megalops",,"<i>Franklinothrips myrimicaeformis</i>",,,,,,,
"2242","Goniozus legneri",,"Navel orangeworm wasp","Navel orangeworm parasitoid",,,,,,
"2243","Harmonia axyridis",,"Predatory ladybird","Chinese ladybird","Asian ladybeetle","Halloween ladybeetle","Harlequin ladybird","Pumpkin ladybird",,
"2244","Hippodamia convergens",,"Ladybird","Ladybug beetle","Ladybird beetle","Convergent lady beetle","Lady beetle predator",,,
"2245","Hyles euphorbiae",,"Leafy spurge hawk moth",,,,,,,
"2246","Hypoaspis aculeifer",,"Scaiarid fly predator","Fungas gnat predator","Thrips predator","<i>Stratiolaelaps miles</i> ",,,,
"2247","Hypoaspis miles",,"Fungus gnat predator","Fungus fly predator","Sciarid fly predator","<i>Geolaelaps miles</i>","<i>Stratiolaelaps miles</i>",,,
"2248","Leptomastix dactylopii",,"Chalcid mealybug parasitoid","Mealybug parasitoid",,,,,,
"2249","Leucoptera spartifoliella",,"Twig mining moth","<i>Tinea punctaurella</i>","Scotchbroom twig miner","<i>Tinea punctaurella</i> Haworth","<i>Leucoptera cytisanthi</i>",,,
"2250","Longitarsus jacobaeae",,"Tansy ragwort beetle","Ragwort flea beetle","Tansy ragwort insects",,,,,
"2251","Lydella thompsoni",,"Tachinid fly",,,,,,,
"2252","Lysiphlebus testaceipes",,"Greenbug parasitoid","Aphid parasitoid",,,,,,
"2253","Macrocentrus ancylivorus",,,,,,,,,
"2254","Macrolophus caliginosus",,"Capsid bug",,,,,,,
"2255","Mesoseiulus longipes",,"Mite predator","<i>Phytoseiulus longipes</i>",,,,,,
"2256","Metaphycus bartletti",,"Soft scale parasite","Black scale parasite","Scale parasitoid","<i>Aphycus bartletti</i>",,,,
"2257","Metaphycus flavus",,"Black scale parasite","Soft scale parasite","Scale parasitoid","<i>Aphycus flavus</i>",,,,
"2258","Metaphycus helvolus",,"Black scale parasite","Soft scale parasite","Scale parasitoid","<i>Aphycus helvolus</i>",,,,
"2259","Microctonus aethiopoides",,"Alfalfa weevil parasite",,,,,,,
"2260","Microplitis plutellae",,"Diamond-back moth parasitoid",,,,,,,
"2261","Neodryinus typhlocybae ",,"Planthopper parasitoid","Neodryinus typhlocybinae",,,,,,
"2262","Oberea erythrocephala",,"Leafty spurge beetle",,,,,,,
"2263","Orius albidipennis",,"Minute pirate bug",,,,,,,
"2264","Orius insidiosus",,"Minute pirate bug","Insidious flower bug",,,,,,
"2265","Orius laevigatus",,"Minute pirate bug",,,,,,,
"2266","Orius majusculus",,"Minute pirate bug",,,,,,,
"2267","Pediobius foveolatus",,"Mexican bean beetle parasitoid",,,,,,,
"2268","Pentalitomastix plethorica",,"Navel orangeworm parasitoid","<i>Copidosomopsis plethorica</i>","<i>Copidosomopsis pletoricus</i>","<i>Pentalitomastix plethoricus</i>",,,,
"2269","Phytoseiulus persimilis",,"Red spider mite predator","Chilean mite","<i>Phytoseiulus riegeli</i>","<i>Phytoseiulus tardi</i>",,,,
"2270","Podisus maculiventris",,"Caterpillar predator","Spined soldier bug","Stink bug",,,,,
"2271","Psyllaephagus pilosus",,"Eucalyptus psyllid parasitoid",,,,,,,
"2272","Rhinocyllus conicus",,"Thistle-head weevil",,,,,,,
"2273","Rhizophagus grandis",,"Bark beetle predatory beetle",,,,,,,
"2274","Rhyzobius forestieri",,"Black ladybird",,,,,,,
"2275","Rhyzobius lophantae",,"Lady beetle scale destroyer","<i>Lindorus lophanthae</i>","Black ladybird","Black ladybeetle","Lindorus",,,
"2276","Rodolia cardinalis",,"Vedalia beetle","<i>Vedalia cardinalis</i>","Cardinal ladybird",,,,,
"2277","Rumina decollata",,"Decollate snail",,,,,,,
"2278","Scolothrips sexmaculatus",,"Six spotted thrip",,,,,,,
"2279","Serangium parcesetosum",,"Whitefly predatory beetle",,,,,,,
"2280","Sphenoptera jugoslavica",,"Knapweed root beetle","<i>Chilostetha jugoslavica</i>",,,,,,
"2281","Spurgia esulae",,"Leafy spurge gall midge","<i>Bayeria capitigena</i>",,,,,,
"2282","Stethorus punctillum",,"Spider mite destroyer",,,,,,,
"2283","Tenodera aridifolia sinensis",,"Praying mantis","Chinese praying mantis","Praying mantid",,,,,
"2284","Thripobius semiluteus",,"Glasshouse thrip parasitoid","Greenhouse thrip parasitoid",,,,,,
"2285","Trichogramma brassicae",,"Moth egg predator","Lepidopteran egg parasitoid","<i>Trichogramma maidis</i>","Trichogramm",,,,
"2286","Trichogramma evanescens",,"Moth egg parasitoid","Trichogramm","Clothes moth",,,,,
"2287","Trichogramma minutum",,"Minute egg parasitoid","Trichogramm",,,,,,
"2288","Trichogramma platneri",,"Moth egg paraistoid","Trichogramm",,,,,,
"2289","Trichogramma pretiosum",,"Moth egg parasitoid","Trichogramm",,,,,,
"2290","Trichogrammatoidea bactrae",,,,,,,,,
"2291","Trichosiricalus horridus",,"Thistle rosette weevil","<i>Ceuthorhynchidius horridus</i>",,,,,,
"2292","Typhlodromus pyri",,"Fruit tree predatory mite","<i>Typhlodromus</i> mite predator",,,,,,
"2293","Tyria jacobaeae",,"Cinnabar moth","<i>Callimorpha senecionis</i>",,,,,,
"2294","Urophora quadrifasciate",,"Knapweed seedhead fly","Seedhead gall fly",,,,,,
"2295","Xylocoris flavipes",,"Warehouse pirate bug",,,,,,,
"2296","(2R,5R)-dihydroxymethyl-(3R,4R)-dihydroxypyrrolidine",,"DMDP","NSC 624987",,,,,,
"2297","L-glutamic acid",,"2-aminopentanedioic acid","L-glutamate",,,,,,
"2298","gamma-aminobutyric acid",,"GABA","4-aminobutyric acid","piperidic acid","piperidinic acid",,,,
"2299","Cotesia glomerata",,"<i>Apanteles glomerata</i>","Lepidopteran parasitic wasp",,,,,,
"2300","Cotesia plutellae",,"<i>Apanteles plutellae</i>","Lepidopteran parasitic wasp","Diamondback moth parasite",,,,,
"2301","Cotesia marginiventris",,"<i>Cotesia marginiventris</i>","Lepidopteran parasitic wasp",,,,,,
"2302","Cotesia flavipes",,"Lepidopteran parasitic wasp",,,,,,,
"2303","Cotesia ruficrus",,"<i>Cotesia ruficrus</i>","Lepidopteran parasitic wasp","Cotesia wasp",,,,,
"2304","Meteorus pulchricornis",,"Meteorus wasp","Lepidopteran parasitic wasp",,,,,,
"2305","Meteorus autographae",,"Meteorus wasp","Lepidopteran parasitic wasp",,,,,,
"2306","Meteorus trachynotus",,"Meteorus wasp","Lepidopteran parasitic wasp",,,,,,
"2307","Meteorus laphygmae",,"Meteorus wasp","Lepidopteran parasitic wasp",,,,,,
"2308","Microlarinus lypriformis",,"Puncture vine stem weevil",,,,,,,
"2309","Microlarinus lareynii ",,"Puncture vine seed weevil",,,,,,,
"2310","Muscidifurax raptor",,"Filth fly parasitoid",,,,,,,
"2311","Muscidifurax raptorellus",,"Filth fly parasitoid",,,,,,,
