ID,Active,Reference,Solubility  in water at 20 DegC - mg/l,Solubility  in water at 20 DegC - quality barometer,Solubility in organic solvents at 20 DegC 1 - mg/l,Solubility in organic solvents at 20 DegC 1 - quality barometer,Solubility in organic solvents at 20 DegC 2 - mg/l,Solubility in organic solvents at 20 DegC 2 - quality barometer,Solubility in organic solvents at 20 DegC 3 - mg/l,Solubility in organic solvents at 20 DegC 3 - quality barometer,Solubility in organic solvents at 20 DegC 4 - mg/l,Solubility in organic solvents at 20 DegC 4 - quality barometer,Melting point  - deg C,Melting point - quality barometer,Boiling point at 1atm - deg C,Boiling point at 1atm - quality barometer,Thermal degradation temperature at 1atm - deg C,Thermal degradation temperature at 1atm - quality barometer,Flashpoint - deg C,Flashpoint - quality barometer,LogP,LogP - quality barometer,Vapour pressure - mPa,Vapour pressure - quality barometer,Henrys law constant Hd - Pa m3 mol-1,Henrys law constant Hd - quality barometer,General biodegradability,Soil DT50 typical - days,Soil DT50 typical - quality barometer,Soil DT50 lab - days,Soil DT50 lab - quality barometer,Soil DT90 lab - days,Soil DT90 lab - quality barometer,Soil DT50 field - days,Soil DT50 field - quality barometer,Soil DT90 field - days,Soil DT90 field - quality barometer,Soil DT50 modelling endpoint,Soil DT50 modelling endpoint - quality barometer,Soil DT50 notes,Kd - ml/g,Koc - ml/g,Kd & Koc - quality barometer,Kd & Koc - notes & range,Kf - ml/g,Kfoc - ml/g,Freundlich Exponent (1/n),Freundlich isotherm - quality barometer,Kf & Kfoc - notes & text,Koc pH sensitivity,Aqueous photolysis DT50 - days,Aqueous photolysis DT50 - quality barometer,Aqueous photolysis DT50 - notes,Aqueous Hydrolysis DT50 at pH7 - days,Aqueous Hydrolysis DT50 at pH7 - quality barometer,Aqueous Hydrolysis DT50 at pH7 - notes,Whole water-sediment system DT50 - days,Whole water-sediment system DT50 - quality barometer,Water phase DT50 - days,Water phase DT50 - quality barometer,Dissipation rate RL50 on plant matrix,On plant matrix RL50 - quality barometer,On plant matrix RL50 - notes,Dissipation rate RL50 on and in plant matrix,On and in plant matrix RL50 - quality barometer,On and in plant matrix RL50 - notes,Metabolite 1 - ID,Metabolite 1 - name,Metabolite 1 - reference,Metabolite 1 - formation medium,Metabolite 1 - estimated maximum occurrence,Metabolite 1 - Annex 1 relevant,Metabolite 2 - ID,Metabolite 2 - name,Metabolite 2  - reference,Metabolite 2 - formation medium,Metabolite 2 - estimated maximum occurrence,Metabolite 2 - Annex 1 relevant,Metabolite 3 - ID,Metabolite 3 - name,Metabolite 3 - reference,Metabolite 3 - formation medium,Metabolite 3 - estimated maximum occurrence,Metabolite 3 - Annex 1 relevant,Metabolite 4 - ID,Metabolite 4 - name,Metabolite 4 - reference,Metabolite 4 - formation medium,Metabolite 4 - estimated maximum occurrence,Metabolite 4 - Annex 1 relevant,Metabolite 5 - ID,Metabolite 5 - name,Metabolite 5 - reference,Metabolite 5 - formation medium,Metabolite 5 - estimated maximum occurrence,Metabolite 5 - Annex 1 relevant,Metabolite 6 - ID,Metabolite 6 - name,Metabolite 6 - reference,Metabolite 6 - formation medium,Metabolite 6 - estimated maximum occurrence,Metabolite 6 - Annex 1 relevant,Acid dissociation constant (Pka),pKa - quality barometer,pKa - detail,Bulk bensity (g/ml)/Specific gravity,Density - quality barometer,State,Max UV-VIS absorption - l mol-1 cm-1,Max UV-VIS absorption - quality barometer,Surface tension - mN/m,Surface tension - quality barometer,GUS,SCI-GROW
"2048","Trichoderma stromaticum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fungal spores",,,,,"Cannot be calculated","Cannot be calculated"
"2049","Trichoderma virens strain GL-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fungal spores",,,,,"Cannot be calculated","Cannot be calculated"
"2050","Vairimorpha necatrix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fungal spore, unicellular parasite",,,,,"Cannot be calculated","Cannot be calculated"
"2051","Xanthomonas campestris",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bacterium",,,,,"Cannot be calculated","Cannot be calculated"
"2052","canola oil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"2053","dihydroazadirachtin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"2054","garlic extract",,"1000000","A5",,,,,,,,,"115","A5","100.3","A5",,,,,"-1.49","A5","2.18","A5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dark brown thick viscous liquid",,,"41.1","A5","Cannot be calculated","Cannot be calculated"
"2056","jojoba oil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"2057","karanjin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"2058","macleaya extract",,"12000","F4","25000","F4 Methanol",,,,,,,"237","F4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"2059","maple lactone",,,,,,,,,,,,"54","Q3","242","Q3",,,,,"-0.66","Q3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9.21","Q3",,,,"Thick liquid",,,,,"Cannot be calculated","Cannot be calculated"
"2060","mildiomycin","AR-1F1870",,,,,,,,,,,">300","Q3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.8","Q3","Weak base, PKa(2) = 4.3, PKa(3) = 7.2",,,"Hygroscopic white solid",,,,,"Cannot be calculated","Cannot be calculated"
"2061","milsana","BAS 114 UBF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.394","Q3","Olive green liquid",,,,,"Cannot be calculated","Cannot be calculated"
"2063","octenol",,"1836","Q3 @ 25 DegC",,,,,,,,,,,"174","Q3",,,"61.1","Q3","2.64","Q3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"2064","polyoxorim",,"35400","L3","11.0","L3 Acetone","175","L3 Methanol",,,,,"180","L3","Decomposes before boiling","L3","180","L3",,,"-1.45","L3","1.33E+05","L3",,,,"7","L3",,,,,,,,,,,"General literature DT50 in flooded soils <10 days, upland soils DT50 <7days",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.66","L3","PKa(2) = 3.69, PKa(3) = 7.89","0.838","L3","Colourless hygroscopic crystals",,,,,"Cannot be calculated","Cannot be calculated"
"2065","rosemary oil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"2066","strychnine",,"143","L3","5600","L3 Benzene","6700","L3 Ethanol","200000","L3 Chloroform",,,"Decomposes on melting","F4","Decomposes before boiling","F4","270","F4",,,"4.0","L3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.26","L3",,"1.36","Q3","White crystalline solid",,,,,"Cannot be calculated","Cannot be calculated"
"2067","ryanodine",,"16000","Q3","29000","Q3 DMSO",,,,,,,"219","L3",,,"426","E3",,,"1.75","V3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"White to off-white solid",,,,,"Cannot be calculated","Cannot be calculated"
"2068","9,21-didehydroryanodine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"2069","Aceria malherbae",,,,,,,,,,,,,,,,,,"Not applicable","Q4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Living organism",,,,,"Cannot be calculated","Cannot be calculated"
"2070","Agapeta zoegana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Living organism",,,,,"Cannot be calculated","Cannot be calculated"
"2071","Agasicles hygrophila",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Living organism",,,,,"Cannot be calculated","Cannot be calculated"
"2072","Agrilus hyperici",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Living organism",,,,,"Cannot be calculated","Cannot be calculated"
"2073","Amblyseius barkeri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Living organism",,,,,"Cannot be calculated","Cannot be calculated"
"2074","Amblyseius cucumeris",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Living organism",,,,,"Cannot be calculated","Cannot be calculated"
"2185","Aprostocetus hagenowii",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Living organism",,,,,"Cannot be calculated","Cannot be calculated"
"2075","Amblyseius degenerans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Living organism",,,,,"Cannot be calculated","Cannot be calculated"
"2076","Amblyseius fallacis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Living organism",,,,,"Cannot be calculated","Cannot be calculated"
"2117","(Z)-dodec-9-enyl acetate","BAS 281 I","0.57","V3","Miscible","A3 Hexane","Miscible","A3 Toluene","Miscible","A3 Ethyl acetate",,,,,"242","A3",,,"126","A4","5.61","A4","153","A3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colourless to pale yellow liquid",,,"39.9","A3","Cannot be calculated","Cannot be calculated"
"2118","(Z)-dodec-8-enyl acetate","BAS 284 I","0.71","A4","Miscible","A4 Hexane","Miscible","A4 Toluene","Miscible","A4 Ethyl acetate",,,,,"115","A4",,,"108","A4","5.61","A3 @ 25 DegC","710","A4","0.003","A5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colourless to pale yellow liquid",,,"39.9","A4","Cannot be calculated","Cannot be calculated"
"2119","looplure","ENT 33266","0.568","V3",,,,,,,,,,,,,,,,,"5.56","V3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colourless to pale yellow liquid",,,,,"Cannot be calculated","Cannot be calculated"
"2120","8,10-dodecadienyl acetate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colourless to pale yellow liquid",,,,,"Cannot be calculated","Cannot be calculated"
"2121","(E,Z)-tetradeca-9,12-dienyl acetate",,"0.71","A4",,,,,,,,,,,"140","A3 @ 0.5mmHg",,,"110","A5","5.61","A4",,,"0.003","A4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colourless to pale yellow liquid",,,,,"Cannot be calculated","Cannot be calculated"
"2122","(Z,Z,E)-7,11,13-hexadecatrienal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"2123","myristyl acetate",,"0.037","V3",,,,,,,,,,,"299","E3",,,"133","E3","6.76","V3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.865","Q3","White to pale yellow crystalline solid",,,,,"Cannot be calculated","Cannot be calculated"
"2125","(Z)-6-heneicosen-11-one",,,,,,,,,,,,,,"0.886","Q3",,,"86","Q3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"2186","Atheta coriaria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Living organism",,,,,"Cannot be calculated","Cannot be calculated"
"2187","Bangasternus orientalis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Living organism",,,,,"Cannot be calculated","Cannot be calculated"
"2126","(E,E)-tetradeca-9,11-dienyl acetate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colourless to pale yellow liquid",,,,,"Cannot be calculated","Cannot be calculated"
"1855","Aphelinus mali",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Living organism",,,,,"Cannot be calculated","Cannot be calculated"
"2127","Aphidius colemani",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Living organism",,,,,"Cannot be calculated","Cannot be calculated"
"2128","Aphidius ervi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Living organism",,,,,"Cannot be calculated","Cannot be calculated"
"2129","Aphidius matricariac",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Living organism",,,,,"Cannot be calculated","Cannot be calculated"
"3132","fenamiphos sulfoxide phenol",,,,,,,,,,,,,,,,,,,,"0","A4",,,,,,"12.0","A5","12.0","A5","47.3","A5",,,,,,,"EU 2017 dossier DT50 range 2.77-23.5 days, DT90 range 9,.21-97.8 days, Soils=5","0.75","28.4","A5","EU 2017 dossier Kd range 0.397-0.945 mL/g, Koc range 24.8-30.8 mL/g, Soils=3","0.55","20.9","0.95","A5","EU 2017 dossier Kf range 0.325-0.6676 mL/g, Kfoc range 20.2-22.2.2 mL/g, 1/n range 0.94-0.959, Soils=3","None",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.89204787018003","0.110387878911445"
"3133","fenamiphos sulfone anisole",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"3134","FOE alcohol","AND 1403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"3139","(3R,4R,5S)-3-benzyl-4-hydroxy-5-methyldihydrofuran-2(3H)-one","X119634522",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"3152","1-(4-methoxy-6-methyl-1,3,5-triazin-2-yl)-1-methylurea",,"2483","A4",,,,,,,,,,,,,,,,,,,,,,,,"21.5","A5","21.5","A5","103","A5",,,,,"73.2","A5 worse case lab study value","EU 2018 Dossier lab studies DT50 range 11-73 days, DT90 range 36.5-229 days, Soil=4",,,,,"1.52","72.2","0.86","A5","EU 2018 Dossier kf range 0.637-2.18 mL/g, Kfoc range 39.5-98.9 mL/g, 1/n range 0.84-0.88, Soils=3","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.85336739843687","0.189777704212576"
"3166","N-(4-chlorobiphenyl-2-yl)-2-hydroxynicotinamide","M510F49",,,,,,,,,,,,,,,,,,,,,,,,,,,,"356","A5",,,,,,,,,"EU 2018 dossier DT50 (normalised) data for clay loam.",,,,,"30.6","2348","0.944","A5","EU 2018 dossier Kf range 6.6-44.5 mL/g, Kfoc range 1101-3491 mL/g, 1/n range 0.989-0.972, Soils=4","None",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.60563235042237","4.84278642093415E-02"
"3167","thiacloprid-des-cyano","AE 1303449","57000","A5",,,,,,,,,,,,,,,,,,,"0.11","A5",,,,"215.3","A5","215.3","A5","678.6","A5",,,,,"227.7","A5 geometic mean - normalised","EU 2017 dossier lab study DT50 (normalised) range 83.4-635 days, DT90 (actual) range 277-1074 days, Soils=4",,,,,"10.1","370","0.84","A5","EU 2017 dossier kf rane 6.8-10.6 mL./g, Kfoc range 338.2-407.2 mL.g, 1/n range 0.833-0.852, Soils=5","None",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.34044841957706","0.536973336568608"
"3168","(1RS, 5Z)-5-(4-chlorobenzylidence)-2-2-dimethyl-1-(1H-1,2,4-triazole-1-ylmethyl)cyclopentanol","RPA 406203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"3181","2-(4-chloro-2-((cyclopropyl((3-(difluoromethyl)-5-fluoro-1-methyl-1H-pyrazol-4-yl)-carbonyl)amino)-methyl)phenyl}-propanoic acid","BCS-CY26497","10100","A3",,,,,,,,,,,,,,,,,,,"2.61E-07","A5",,,,"82.7","A5","82.7","A5","804","A5",,,,,"105.5","A5","EU 2019 Dossier Lab studies DT50 (normalised) range 15.5-1000 days, DT90 (normalised) range 51.3-3290 days, Soil=5",,,,,"1.31","100.36","0.92","A5","EU 2019 dossier Kf range 0.3-2.72 mL/g, Kfoc range 28.1-289.8 mL/g, 1/n range 0.891-0.960, Soils=9","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.83201845906446","0.976375760728411"
"3182","2-((2-Ethyl-6-methyl-phenyl)-oxalylamino)-propionic acid","CGA 357704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"3183","desmethyl-benzovindiflupyr","SYN546206",,,,,,,,,,,,,,,,,,,,,,,,,,"191","A5","191","A5","675","A5",,,,,"208","A5 geometric mean normalised data","EU 2015 dossier lab studies DT50 (normalised) range 284-58 days, DT90 (measured) range 192-945 days, Soils=5",,,,,"89.9","576","0.93","A5 ","EU 2015 dossier Kf range 24.6-144.9 mL/g, Kfoc range 4385-6135 mL/g, 1/n range 0.886-0.950, Soils=5","None",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.82751767660173","0.263226856304269"
"3184","1,3-dimethyl-5-phenoxypyrazole-4-carboxylic acid",,"1101","A5",,,,,,,,,,,,,,,,,,,"0.117","A5",,,,"60.3","A5","60.3","A5","176.9","A5",,,,,"43.6","A5 geometric mean lab studies","EU 2019 dossier lab studies DT50 (normalised) range 28.1-96.4 days, DT90 (measured) range 93.4-287 days, Soils=4",,,,,"1.5","86.75","0.69","A5","EU 2019 Dossier Kf range 0.324-4.061 mL/g, Kfoc range 10-169 mL/g, 1.n range 0.606-0.812, Soils=4","None",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.67053453155864","0.750462146606431"
"1373","ethanol",,"Miscible","A5","Miscible","A5 Acetone","Miscible","A5 Ethyl acetate","Miscible","A5 Benzene","Miscible","A5 Methanol","-115","A5","78.3","A5",,,"13","A5","-0.31","A5","7.87E+06","A5","5.2E-06","A5",,"0.11","A5","0.11","A5","0.43","A5",,,,,,,"EU 2017 Dossier DT50 range 0.07-0.144 days, DT90 range 0.2-0.58 days, Soils=6",,"1.0","CA2","Estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15.9","A5","Strong base","0.79","L3","Clear colourless liquid","[210nm = 0.5, 220nm = 0.25, 230nm = 0.10, 250nm = 0.03, 270nm = 0.005]","A3","22.75","A5 ","-3.8344292593671","7.67469168927575E-04"
"1523","isomalathion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"2188","Bathyplectes curculionis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Living organism",,,,,"Cannot be calculated","Cannot be calculated"
"2189","Bracon hebetor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Living organism",,,,,"Cannot be calculated","Cannot be calculated"
"2201","Chrysolina quadrigemina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Living organism",,,,,"Cannot be calculated","Cannot be calculated"
"2166","Aphytis holoxanthus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Living organisim",,,,,"Cannot be calculated","Cannot be calculated"
"2167","Aphytis lepidosaphes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Living organisim",,,,,"Cannot be calculated","Cannot be calculated"
"2168","Aphytis lignanensis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Living organisim",,,,,"Cannot be calculated","Cannot be calculated"
"2169","Aphytis melinus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Living organisim",,,,,"Cannot be calculated","Cannot be calculated"
"2170","Apion fuscirostre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Living organisim",,,,,"Cannot be calculated","Cannot be calculated"
