ID,Active,Reference,Taxonomic classification,Substance source,Substance production,Target Pests,Uses,Target Host,Product 1,Manufacturer 1,Product 2,Manufacturer 2,Product 3,Manufacturer 3,Known to used in the following countries,Farming system suitability
"2211","Chilocorus baileyi",,"Order: Coleoptera; Family: Coccinellidae","Native of Australia but now used in Europe","For commerical applications the beetles are rasied on scale insects under controlled conditions","Various scale insects including Red scale (<i>Aonidiella aurantii</i>), Oriental scale (<i>Aonidiella orientalis</i>) and Oleander scale (<i>Aspidiotus nerii</i>)","Crop protection","Citrus plantations","Chilocorus baileyi","Australasian Biological Control Inc.","Blue Chilocorus","Bugs for Bugs",,,"Belgium, France, Netherlands",
"2212","Chilocorus circumdatus",,"Order: Coleoptera; Family: Coccinellidae","Native to India, Indonesia, China, and Hong Kong. Introduced to Australia.","For commerical applications the beetles are rasied on scale insects under controlled conditions","Various scale insects including Red scale (<i>Aonidiella aurantii</i>), Oriental scale (<i>Aonidiella orientalis</i>) and white louse scale (<i>Unaspis citri</i>)","Crop protection","Citrus plantations","Red Chilocorus","Bugs for Bugs",,,,,"Australia",
"2219","Cybocephalus nipponicus",,"Order: Coleoptera; Family: Cybocephalidae","A beetle native to Asia, now introduced into and common throughout North America","Produced for commercial purposes by rearing in insectaries on euonymus scale (<i>Unaspis euonymi</i> (Comstock))","Euonymus scale (<i>Unaspis euonymi</i>), Siebold scale (<i>Lepidosaphes yangicola</i> Kuwana), San Jose scale (<i>Quadraspidiotus perniciosus</i>) and <i>Cycad aulacaspis</i> scale","Plant protection, Interior landscape management","Euonymus (<i>Euonymus spp.</i>) and other woody shrubs (e.g. <i> Cycas spp.</i.)","Cybocephalus nipponicus adults","Green spot","Cybocephalus nipponicus adults","Rincon-Vitova","Cybocephalus nipponicus adults","Greenfire","USA",
"2220","Dacnusa sibirica",,"Order: Hymenoptera; Family: Braconidae","Widespread and common in temperate climates e.g. Europe and North America","Produced for commercial purposes by rearing on leaf miners","Various leaf  miners including tomato leafminers (e.g. <i>Liriomyza bryoniae</i>, <i>Liriomyza huidobrensis</i>, <i>Liriomyza trifolii</i>) and Chrysanthemum Leafminer (<i>Phytomyza syngenesiae</i>)","Crop protection","Protected crops especially vegetables and ornamentals","Minusa","Koppert Biological Systems","Diminex","Koppert Biological Systems","Dacnusa sibirica","Praxis","UK, USA",
"2221","Delphastus catalinae",,"Order: Coleoptera; Family: Coccinellidae","Widespread occurrence across central and southern USA and central and South America","Produced for commercial purposes by rearing on whiteflies (<i>Trialeurodes vaporariorum</i> or <i>Bernisia tabaci</i>) under controlled conditions","Glasshouse whitefly (<i>Trialeurodes vaporariorum</i>), sweet potato whitefly (<i>Bemisia spp.</i>) and the tobacco whitefly (<i>Bernisia tabaci</i>). May also attack spidermites if whitefly populations are low.","Crop protection","Glasshouse crops, tropical and sub-tropical plantings","Delsure","Biological Crop Protection","Whitefly ladybeetle","Applied Bio-Nomics","Whitefly ladybeetle","Rincon Vitova","USA",
"2222","Delphastus pusillus",,"Order: Coleoptera; Family: Coccinellidae","Widespread occurrence across central and southern USA and central and South America","Produced for commercial purposes by rearing on whiteflies (<i>Trialeurodes vaporariorum</i> or <i>Bernisia tabaci</i>) under controlled conditions","Glasshouse whitefly (<i>Trialeurodes vaporariorum</i>) and the tobacco whitefly (<i>Bernisia tabaci</i>). May also attack spidermites if whitefly populations are low.","Crop protection","Glasshouse crops","Whitefly Destroyer","Nature's Alternative Insectuary","Delphastus-System","BioBest","Delphastus pusillus predatory beetle","M&R Durango",,
"2223","Deraeocoris brevis",,"Order: Hemiptera; Family: Miridae","Occurs widely in nature ","Produced for commercial purposes by rearing in insectaries on whiteflies and aphids","Many species including spider mites, aphids, leafhoppers and scale insects and are considered to be a very important predator of pear psylla","Crop protection","Glasshouse crops especially vegetables and ornamentals","Deraeocoris brevis adults","Green spot","Deraeocoris brevis","Applied Bio-Nomics",,,,
"2224","Diglyphus isea",,"Order: Hymenoptera; Family: Eulophidae","Widely distributed across the world including Europe, North Africa and Japan","Reared for commercial applications on leaf miners under controlled conditions","Many leafminers including the serpentine leafminer (<i>Liriomyza trifolii</i>), the tomato leafminer (<i>Liriomyza bryoniae</i>),  the pea leafminer (<i>Liriomyza huidobrensis</i>) and the vegetable leafminer (<i>Liriomyza sativae</i>)","Crop protection","Glasshouse vegetables and ornamentals, also some outdoor crops","Digline I","Syngenta Bioline","Leafminer parasite","Arbico","Diglyphus system","Praxis","USA, Japan",
"2227","Dicyphus hesperus",,"Order: Heteroptera; Family: Miridae","Widely distributed over North America.","Reared for commercial applications on whiteflies feed on tomatoes under controlled conditions","All species of whitefly including the greenhouse whitefly (<i>Trialeurodes vaporariorum</i>), tobacco whitefly (<i>Bermisa tabaci</i>) and the silverleaf whitefly (<i>Bermisa argentifolii</i>). Will also eat other soft bodied insects","Crop protection","Glasshouse vegetables and ornamentals","Dicyphus H","Syngenta Bioline","Dicyphus hesperus","Rincon Vitova","Dicyphus hesperus","Natural Insect Company","USA",
"2228","Encarsia formosa",,"Order: Hemenoptera; Family: Aphelinidae","Widely distributed over North America, Europe, Australia and New Zealand.","Reared for commercial applications on whitefly nymphs under controlled conditions","Mainly the greenhouse whitefly (<i>Trialeurodes vaporariorum</i>)","Crop protection","Glasshouse vegetables and ornamentals","Encarline f 6000","Syngenta Bioline","Encsure","Biological Crop Protection","Encarsia Formosa","Natural Insect Company","USA, Europe, Australia, New Zealand",
"2230","Episyrphus balteatus",,"Order: Diptera; Family: Syrphidae","Widely distributed across Europe, North Asia and North America including the UK","Rearered for commercial applications on aphids under controlled conditions","Wide variety of aphids","Crop protection","Field and protected crops including both vegetables and ornamentals","Episyrphus balteatus","Biobest","Epline B","Syngenta Bioline",,,"Netherlands, Portugal, Denmark, Italy",
"2231","Eretmocerus eremicus",,"Order: Hymenoptera; Family: Aphelinidae","Occurs in desert regions of California and Arizona.","Produced for commercial applications by rearing on <i>Bemisia tobaci</i>","Sweetpotato whitefly (<i>Bemisia tobaci</i>),  glasshouse whitefly (<i>Trialeurodes vaporariorum</i>), silverleaf whitefly (<i>Bermsia argentifolii</i>)","Crop protection, Interior landscape management","Vegetables and ornamentals","Eretline e","Syngenta Bioline","Eretmocerus californicus small parasitic wasp","M&R Durango","Eretmocerus system","Biobest","USA",
"2232","Eretmocerus mundus",,"Order: Hymenoptera; Family: Aphelinidae","Native to the Mediteranean region and identified as a potential biocontrol agent via observations on vegetable crops","Produced for commercial applications by rearing on <i>Bemisia tobaci</i> under controlled conditions","Whiteflies including the sweetpotato whitefly and tobacco whitefly","Crop protection, Interior landscape management","Protected vegetables and ornamentals","Mundus System","Biobest","Eretmocerus mundus","Rincon Vitova","Eretline m","Syngenta Bioline","Germany, Netherlands, Spain, Portugal, Denmark, USA",
"2233","Feltiella acarisuga",,"Order: Diptera; Family: Cecidomyiidae","Widely found in northern Europe including the UK","Reared for commercial purposes on red spider mites (<i>Tetranychus urticea</i>)","Spider mites including red spider mites (<i>Tetranychus urticea</i>), European red mite (<i>Panonychus ulmi</i>) and carmine spider mites (<i>Tetranychus cinnabarinus</i>)","Crop protection","Protected vegetables and ornamentals","Therodiplosis system","Biobest","Felsure (A)","Biological Crop Protection","Feltiella acarisuga","Rincon Vitova","USA","Useful for IPM"
"2234","Franklinothrips orizabensis",,"Order: Thysanoptera; Family: Aeolothripidae","Originally found in Latin and Central America and now found all over the USA","Reared for commercial purposes on <i>Ephestra</i> eggs on bean plants under controlled conditions","Avocado thrips (<i>Scirothrips persea</i> Nakahra)","Crop protection","Citrus and avocado orchards","Franklinothrips orizabensis","Rincon Viova",,,,,"USA","Useful for IPM"
"2235","Galendromus annectens",,"Order: Acari; Family: Phytoseiidae","Thought to have orginiated in Central America now widespread in Latin and South America","Reared, for commercial purposes on phytophagous mites under controlled conditions","Various spider mites including <i>Tetranychus</i> spp. and <i>Oligonychus perseae</i>","Crop protection","Wide range of crops including avocados, citrus and top fruit","Galendromus annectens","American Insectaries","Galendromus annectens","Rincon Vitova",,,"USA",
"2236","Galendromus helveolus",,"Order: Acari; Family: Phytoseiidae","Found throughout Central and North Amercia","Reared for commercial purposes on persea mite (<i>Oligonychus perseae</i>) under controlled conditions","Various mites including the Persea mite (<i>Oligonychus perseae</i>), six-spotted mite (<i>Eotetranychus sexmaculatus</i>) and avocado brown mite (<i>Oligonychus punicae</i>) ","Crop protection","Avocado and citrus orchards","Galendromus helveolus","Arbico","Galendromus helveolus","Rincon Vitova","Galendromus helveolus","Buena Biosystems","USA",
"1946","ARF-18",,"Yet to be classified.","Originally isolated from the soybean cyst nematode found in the Arkansas areas of the USA","Produced by fermentation using mycellium as the seed material","Soybean nematode (<i>Heterodera glycines</i>) and other cycst nematodes","Crop protection","Cotton, Soybeans","None identified","None identified",,,,,,
"1947","Azospirillum brasilense",,"Class: Alphaproteobacteria; Order: Rhodospirillales; Family: Rhodospirillaceae","A soil bacterium isolated from the roots of bermuda grass (<i>Cynodon dactylon</i>)","Produced by fermentation","None - PGR","Yeild enhancemen; soil conditioner","Grass, Turf, lawns","Azos","Treme Gardening Co","Recharge","Eco Soil Systems",,,,"Suitable for use in organic farming and for IPM where approved for use in that country"
"1948","Bacillus amyloliquefaciens MBI600",,"Class: Bacilli; Order: Bacillales; Family: Bacillaceae","Occurs widely in soils, collonises especially in the rhizosphere of germinating seeds, strain selected due to its fungicidal activity","Produced commercially by controlled fermentation. ","Seedling fungal pathogens including <i>Fusarium spp., Pythium spp.</i> and <i>Rhizoctonia spp.</i>","Crop protection","Wide range of crops including cereals, soybeans, cotton, legumes","Subtilex","Becker Underwood Inc","HiStick N/T","Becker Underwood Inc","Pro-Mix with Biofungicide","Premier Horticulture Inc.","Korea, USA","Suitable for use in organic farming and for IPM where approved for use in that country"
"1949","Bacillus amyloliquefaciens QST 713",,"Class: Bacilli; Order: Bacillales; Family: Bacillaceae","Gram-positive bacterium that occurs widely in soils, strain selected due to its fungicidal activity. Isolated from a peach orchard in California, USA","Produced commercially by controlled fermentation. Spores harvested for formulation into final point-of sale product","Seedling fungal pathogens including <i>Fusarium spp., Pythium spp.</i> and <i>Rhizoctonia spp.</i>","Crop protection","Wide range of crops including vegetables, potatoes, top fruit, stone fruit, soft fruit, herbs & ornamentals","Seranade WP","AgraQuest Inc.","Serenade Garden","Agraquest Inc.","Impression WP","Agraquest Inc.","Japan, Mexico, New Zealand, Switzerland, Canada, South Africa, China, South Korea","Suitable for use in organic farming and for IPM where approved for use in that country"
